Nama Produk, Recency, Frequency, Monetary
AVOSKIN MIRACULOUS ACNE SOLUTION MICRO SERUM 20ML,123,3,495000
AVOSKIN MIRACULOUS ACNE SOLUTION SPOT TREATMENT 15ML,129,3,510000
AVOSKIN MIRACULOUS RETINOL AMPOULE 30ML - FULL SIZE,-64,5,895000
AVOSKIN MIRACULOUS RETINOL AMPOULE 30ML - FULL SIZE - DEFECT,-125,6,1026000
AVOSKIN MIRACULOUS RETINOL AMPOULE 30ML - FULL SIZE - NORMAL,124,23,4475000
AVOSKIN Miraculous Refining Toner 100ml LILAC (Anniversary Edition),89,1,140000
AVOSKIN Miraculous Retinol Ampoule 30ml LILAC (Anniversary Edition),-64,3,561000
AVOSKIN PHTE Perfect Hydrating Treatment Essence 100ml LILAC,125,1,210000
AVOSKIN YOUR SKIN BAE SERUM ALPHA ARBUTIN 3% + GRAPESEED 30ML FULLSIZE,-155,31,3410000
AVOSKIN YOUR SKIN BAE SERUM AZECLAIR 10% + KOMBUCHA 3% + NIACIN 2.5%,127,1,110000
AVOSKIN YOUR SKIN BAE SERUM LACTIC ACID 10% + KIWI FRUIT 5% NIA 2.5%,89,1,99000
AVOSKIN YOUR SKIN BAE SERUM MARINE COLLAGEN 10% + GINGSENG ROOT 30ml,-33,13,1540000
AVOSKIN YOUR SKIN BAE SERUM NIACINAMIDE 12% + CENTELLA 30ML- FULL SIZE,-155,23,2530000
AVOSKIN YOUR SKIN BAE SERUM PANTHENOL 5% + MUGWORT + CICA - 30ML,129,2,214000
AVOSKIN YOUR SKIN BAE SERUM SALICYLIC ACID 2% + ZINC 30ML - FULL SIZE - NORMAL,-94,12,1320000
AVOSKIN YOUR SKIN BAE SERUM ULTIMATE HYALURON HYACROSS 3% + GREEN TEA,-125,10,1094000
AVOSKIN YOUR SKIN BAE SERUM VITAMIN C 3% + NIACINAMIDE 2% 30ml - NORMAL,-155,17,1870000
Avoskin Your Skin Bae Toner Salicylic Acid 1% + Zinc + Tea Tree Water,135,1,110000
Azarine Hydrasoothe Sunscreen Gel SPF 45 PA++++ 50ml,-64,4,204000
GARNIER Bright Complete Vitamin C 30x Booster Serum 30ml FULLSIZE,135,1,120000
LOREAL PARIS REVITALIFT CRYSTAL FRESH HYDRATING GEL CREAM 50ML - 15ML,-64,1,38000
LOREAL PARIS REVITALIFT CRYSTAL PURIFYING MICELLAR WATER 95ML,-125,5,156000
MAYBELLINE Fit Me Matte + Poreless Powder 12H Oil Control SPF 28 PA+++ - 112 NAT IVORY,135,1,36500
MAYBELLINE Line Tattoo High Impact Liner - Eye Liner BLACK,135,1,37000
MIZZU M LAB SERUM 17ML - VITA C,-155,1,46500
TRUE TO SKIN Niacinamide Brightening Serum 20ml,59,1,80000
